age,height,weight,span,pullup reps,pushup reps,continuoushang,maxhang,weightedpull,repeaters1,powl,powr,max_boulder_numeric,bouldergrade_numeric,sex_encoded
43.0,65.0,151.0,65.0,2.0,6.0,16.0,37.0,10.0,31.0,23.5,23.98,2.0,10.0,0.0
19.0,70.0,155.0,74.0,18.0,70.0,54.0,35.0,85.0,117.0,28.6,29.6,9.0,7.0,1.0
34.0,68.0,165.0,72.0,15.0,35.0,47.0,50.0,70.0,129.2,31.47,32.225,8.0,7.0,1.0
30.0,68.0,142.0,70.0,5.0,7.0,37.6,35.0,25.0,122.0,28.73,29.755000000000003,8.0,6.0,0.0
38.0,70.0,185.0,71.95,8.0,12.0,17.0,30.0,55.0,83.0,36.375,34.225,2.0,11.0,1.0
31.0,73.5,143.0,76.0,8.0,7.0,32.17,25.0,25.0,80.0,25.85,25.15,7.0,4.0,0.0
37.0,69.0,140.0,70.0,12.0,22.0,53.0,65.1,56.0,159.2,31.2,31.31,8.0,7.0,0.0
31.0,71.5,165.0,74.5,18.0,22.0,65.0,90.0,105.0,195.0,33.55,33.965,12.0,12.0,1.0
30.0,65.0,115.0,64.75,13.0,16.0,31.0,23.0,46.0,62.0,31.485000000000003,31.2,8.0,5.0,0.0
33.0,68.0,150.0,68.0,14.0,26.0,56.0,124.0,101.0,165.0,35.975,35.55,8.0,7.0,1.0
36.0,65.0,128.0,68.0,14.0,35.0,27.0,34.0,70.0,92.0,28.1,27.875,8.0,5.0,0.0
36.0,73.0,169.0,73.0,16.0,27.0,60.0,73.0,93.0,205.0,31.15,31.655,5.0,5.0,1.0
35.0,65.0,122.0,67.5,9.0,34.0,53.0,50.0,35.0,260.0,27.130000000000003,27.2,14.0,12.0,0.0
54.0,61.0,100.0,61.0,7.0,12.0,37.0,10.0,15.0,97.0,28.755000000000003,28.630000000000003,11.0,12.0,0.0
34.0,73.0,158.0,73.0,19.0,29.0,49.0,80.0,80.0,200.0,31.405,31.48,6.0,5.0,1.0
37.0,69.0,148.0,72.0,13.0,17.0,50.0,60.0,63.0,120.0,31.71,30.7,10.0,8.0,1.0
29.0,70.0,165.0,73.0,13.0,30.0,30.0,45.0,70.0,87.0,28.725,30.53,7.0,6.0,1.0
45.0,70.5,156.0,70.5,14.0,36.0,45.0,47.0,72.0,160.0,27.65,27.9,8.0,7.0,1.0
30.0,72.0,180.0,73.0,9.0,19.0,36.0,60.0,63.0,120.0,29.335,28.775,6.0,4.0,1.0
29.0,66.0,136.0,67.0,15.0,19.0,41.0,55.0,80.0,95.0,28.0,27.95,8.0,6.0,1.0
39.0,63.0,128.0,65.0,3.0,10.0,50.0,31.6,15.9,114.0,27.0,26.9,4.0,11.0,0.0
27.0,64.0,115.0,64.0,8.0,21.0,62.0,45.0,45.0,190.0,28.25,27.6,15.0,5.0,0.0
30.0,71.0,195.0,75.0,6.0,21.0,47.4,52.1,70.0,112.1,32.2,31.475,8.0,6.0,1.0
44.0,70.0,165.0,65.0,12.0,21.0,41.0,40.0,55.0,60.0,31.745,31.2,5.0,5.0,1.0
32.0,70.0,155.0,73.0,16.0,35.0,67.0,100.0,125.0,120.0,35.35,36.08,15.0,12.0,1.0
38.0,62.0,120.0,62.0,12.0,22.0,40.0,50.0,45.0,90.0,33.358,34.25,10.0,5.0,0.0
39.0,63.0,125.0,62.0,8.0,15.0,40.0,30.0,35.0,113.0,26.5,26.475,2.0,10.0,0.0
27.0,67.0,135.0,70.0,15.0,20.0,45.0,75.0,70.0,180.0,29.15,28.85,10.0,7.0,1.0
40.0,61.5,155.0,75.6,12.0,25.0,56.0,54.0,54.0,98.0,33.25,33.265,7.0,5.0,1.0
31.0,62.0,110.0,61.0,14.0,26.0,65.0,65.0,70.0,128.7,29.475,29.73,10.0,7.0,0.0
38.0,69.0,160.0,72.0,11.0,33.0,21.0,40.0,35.0,62.0,27.35,27.2,7.0,6.0,1.0
32.0,68.0,153.0,67.0,16.0,30.0,64.0,105.0,80.0,120.0,35.55,35.910000000000004,9.0,8.0,1.0
47.0,66.0,140.0,67.0,16.0,31.5,53.6,58.0,72.4,148.0,33.158,33.905,5.0,4.0,1.0
